year,month,relation_index,EPU
2005,12,10.9272071,173.9302467
2006,01,4.744888228,150.4201103
2006,02,6.733813473,761.6027326
2006,03,3.57728239,439.710425
2006,04,5.669720112,246.6646313
2006,05,4.063723252,96.25914741
2006,06,6.919851138,178.4855252
2006,07,6.41571279,92.7651985
2006,08,5.771141958,301.7153433
2006,09,6.050375719,375.1023838
2006,10,6.471716977,203.9108792
2006,11,6.406941966,124.9747185
2006,12,6.637533083,402.9810006
2007,01,5.30490349,186.9047887
2007,02,5.49916328,156.8801903
2007,03,6.830089983,426.631432
2007,04,5.248009481,84.61929897
2007,05,7.355544349,142.9871325
2007,06,7.366233767,146.892198
2007,07,4.881910661,184.4536812
2007,08,5.256207056,212.7047411
2007,09,7.281677929,150.020767
2007,10,7.821968376,458.6396656
2007,11,5.325501506,279.9701504
2007,12,5.637115527,284.5801434
2008,01,5.134124035,190.4670935
2008,02,7.573427862,357.9181485
2008,03,2.025590777,1184.939545
2008,04,5.404719515,166.7737739
2008,05,6.458063036,124.342305
2008,06,6.248305894,258.8481747
2008,07,6.845257369,253.951972
2008,08,5.75255076,125.19825
2008,09,6.859937554,237.9749199
2008,10,8.03324003,298.1379034
2008,11,7.858592754,243.0534193
2008,12,9.585689932,345.3450945
2009,01,7.701903095,674.2161481
2009,02,8.247374923,228.7691793
2009,03,6.867436411,570.8503972
2009,04,6.772561843,235.0839928
2009,05,7.63774078,367.9160771
2009,06,7.699304615,374.2713058
2009,07,8.496800431,258.4502426
2009,08,6.014936569,255.3669453
2009,09,5.814560232,427.1496293
2009,10,6.720613189,396.2890569
2009,11,7.577861005,308.761242
2009,12,7.548823022,229.2173503
2010,01,6.387897228,332.2515281
2010,02,5.032542238,172.4520741
2010,03,5.224723334,558.7356383
2010,04,6.051378881,354.8502977
2010,05,5.346916049,222.9213996
2010,06,7.148419698,352.7574268
2010,07,6.36840162,255.6662909
2010,08,8.46104071,383.9861523
2010,09,8.221855487,278.6293076
2010,10,4.662817119,272.8379502
2010,11,4.353238419,361.1761721
2010,12,6.711521923,337.8722284
2011,01,7.829649023,443.8269376
2011,02,6.368582982,171.0329824
2011,03,5.84837658,730.8020593
2011,04,7.416661918,612.9560944
2011,05,8.192327027,535.8937555
2011,06,9.005506721,644.121597
2011,07,8.224121845,748.8457102
2011,08,4.989553674,348.8807132
2011,09,7.16528366,412.7898561
2011,10,9.366272522,326.7320562
2011,11,7.034442787,343.702522
2011,12,7.48006916,331.7685912
2012,01,8.994535099,315.5391525
2012,02,6.375733686,261.5665124
2012,03,5.17624782,506.447034
2012,04,6.159061526,312.9012072
2012,05,8.49301377,333.8439824
2012,06,7.258057449,290.7977102
2012,07,9.885453334,497.023178
2012,08,5.887157376,243.1818021
2012,09,6.274143534,291.8703589
2012,10,10.69994952,494.6459517
2012,11,8.517537434,502.7492989
2012,12,8.357020474,392.6476759
2013,01,8.081002978,208.7209876
2013,02,7.281268063,160.8207754
2013,03,7.704725288,291.9775492
2013,04,6.372071154,299.6990196
2013,05,6.911642569,249.8691383
2013,06,4.541652464,265.9829544
2013,07,6.910600864,286.9931135
2013,08,6.607070941,224.0723629
2013,09,4.607119707,354.9258922
2013,10,7.465567683,285.633796
2013,11,5.004656049,267.0917442
2013,12,6.226254696,320.9547315
2014,01,7.19595437,321.4967127
2014,02,7.123549018,162.938637
2014,03,7.195554611,516.6832944
2014,04,4.429827698,296.7257157
2014,05,6.570610031,424.030619
2014,06,5.599655223,288.3358861
2014,07,9.489940394,403.2137028
2014,08,6.790149495,279.2321056
2014,09,6.427184595,548.7824399
2014,10,6.999743151,249.2362227
2014,11,5.635305559,376.540311
2014,12,6.62489046,370.1719904
2015,01,8.602310725,307.1886296
2015,02,5.22512068,286.2742477
2015,03,4.48277998,656.0314416
2015,04,5.657036162,209.2967148
2015,05,8.291442711,356.2401909
2015,06,6.185540655,473.395049
2015,07,8.480403713,567.8264463
2015,08,9.131591584,295.9791852
2015,09,9.456975125,599.3261047
2015,10,7.737824751,422.9348327
2015,11,4.822024782,451.4381654
2015,12,6.870834861,450.1233016
2016,01,8.395598818,538.2847967
2016,02,6.645142603,409.1243017
2016,03,3.194311874,768.5158682
2016,04,7.682490426,454.9219767
2016,05,6.210085363,685.3717807
2016,06,7.177880078,1082.038498
2016,07,8.812336721,407.7186771
2016,08,6.515915866,311.8979796
2016,09,10.64713507,489.6920318
2016,10,10.73514155,379.4478968
2016,11,6.010470223,409.7596848
2016,12,7.675848635,405.5181297
2017,01,6.880097924,639.8996398
2017,02,5.375500819,236.6689454
2017,03,7.325359229,629.9363397
2017,04,7.838385452,321.6315735
2017,05,8.031336435,236.01013
2017,06,6.868908497,225.9935276
2017,07,11.82001055,490.5274861
2017,08,9.115754158,310.0137838
2017,09,8.322108172,600.1446558
2017,10,11.22240763,1595.948525
2017,11,7.326681417,345.5252433
2017,12,7.56490943,387.9245536
2018,01,5.733567026,362.6104696
2018,02,7.538311977,348.9684386
2018,03,4.694962723,849.161177
2018,04,8.927487757,403.2539158
2018,05,7.945760981,222.5735484
2018,06,7.573548284,334.4062985
2018,07,5.466662222,626.1740799
2018,08,9.707283896,357.9150798
2018,09,2.895117596,813.8090196
2018,10,2.129031918,1053.050595
2018,11,12.02310434,583.4202006
2018,12,11.14724339,2787.62825
2019,01,10.95231826,305.3065538
2019,02,7.220150302,906.3820702
2019,03,4.210896981,1946.166069
2019,04,7.154925682,345.2680861
2019,05,7.300618415,458.8818122
2019,06,8.683391378,660.5891147
2019,07,12.14301449,657.7361499
2019,08,11.50849944,510.5654104
